City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Ordynskoye,RU,2020-11-02 21:18:47,54.37,81.9,30.24,96,100,4.97
168,Buala,SB,2020-11-02 21:18:47,-8.14,159.59,81.14,82,100,8.99
169,Antibes,FR,2020-11-02 21:18:47,43.56,7.13,62.6,82,75,4.7
170,Moerai,PF,2020-11-02 21:18:47,-22.43,-151.33,76.73,83,45,15.95
171,Aklavik,CA,2020-11-02 21:18:48,68.22,-135.01,1.4,70,100,4.7
172,Saint-Philippe,RE,2020-11-02 21:18:48,-21.36,55.77,71.6,56,90,4.7
173,Ostrovnoy,RU,2020-11-02 21:18:48,68.05,39.51,35.04,85,96,31.23
174,Poum,NC,2020-11-02 21:18:49,-20.23,164.02,77.43,77,100,5.46
175,Takoradi,GH,2020-11-02 21:18:49,4.88,-1.76,79.03,85,100,5.46
176,Amahai,ID,2020-11-02 21:18:49,-3.33,128.92,81.0,94,100,5.99
177,Shaunavon,CA,2020-11-02 21:14:59,49.65,-108.42,60.8,29,0,17.22
178,Honningsvag,NO,2020-11-02 21:18:50,70.98,25.97,41.0,80,75,19.46
179,Ilulissat,GL,2020-11-02 21:18:50,69.22,-51.1,21.2,67,49,13.87
180,Batemans Bay,AU,2020-11-02 21:18:50,-35.72,150.18,64.0,88,14,1.01
181,Yongan,CN,2020-11-02 21:18:50,39.7,113.69,26.94,79,0,4.05
182,East London,ZA,2020-11-02 21:18:51,-33.02,27.91,67.35,83,76,15.46
183,Birjand,IR,2020-11-02 21:18:51,32.87,59.22,41.0,15,0,4.7
184,Hambantota,LK,2020-11-02 21:18:51,6.12,81.12,78.62,82,82,7.76
185,Cherskiy,RU,2020-11-02 21:18:51,68.75,161.3,-4.58,90,99,11.01
186,Qaqortoq,GL,2020-11-02 21:18:51,60.72,-46.03,24.8,45,89,11.41
187,Tucuman,AR,2020-11-02 21:18:52,-26.82,-65.22,89.6,21,20,5.82
188,College,US,2020-11-02 21:18:52,64.86,-147.8,-7.6,76,90,3.36
189,Parana,AR,2020-11-02 21:18:52,-31.73,-60.52,82.99,27,2,1.99
190,Port Hedland,AU,2020-11-02 21:18:52,-20.32,118.57,69.8,88,0,5.82
191,Jesup,US,2020-11-02 21:18:52,31.61,-81.89,64.4,23,1,5.82
