City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Camalu,MX,30.85,-116.07,55.99,4,77,7.0,broken clouds
252,Kuruman,ZA,-27.45,23.43,61.09,67,100,24.4,moderate rain
253,Lakatoro,VU,-16.1,167.42,81.09,72,99,9.53,overcast clouds
254,Sorland,NO,67.67,12.69,45.82,80,100,35.19,overcast clouds
255,Dondaicha,IN,21.33,74.57,79.83,33,0,4.65,clear sky
256,Tarko-Sale,RU,64.92,77.78,23.31,98,100,8.41,snow
257,Primorsk,UA,46.73,36.34,53.56,86,93,14.25,overcast clouds
258,Palmer,US,42.16,-72.33,28.99,79,20,0.47,few clouds
259,Zima,RU,53.92,102.04,29.37,93,100,9.31,overcast clouds
260,Nago,JP,26.59,127.98,75.2,50,20,23.04,few clouds
261,Swellendam,ZA,-34.02,20.44,66.2,93,97,3.36,overcast clouds
262,Pjanici,BA,44.98,15.82,50.77,90,9,1.52,clear sky
263,Norman Wells,CA,65.28,-126.83,-0.4,84,75,2.24,light snow
264,Tessalit,ML,20.2,1.01,73.06,21,88,11.72,overcast clouds
265,Port Macquarie,AU,-31.43,152.92,79.0,47,2,1.99,clear sky
266,Mitu,CO,1.2,-70.17,73.44,96,100,0.38,moderate rain
267,Mayo,US,38.89,-76.51,46.4,81,1,4.7,clear sky
268,Onguday,RU,50.75,86.15,24.22,89,100,3.89,overcast clouds
269,Toamasina,MG,-18.17,49.38,68.0,94,40,4.7,shower rain
270,Gizo,SB,-8.1,156.84,85.46,72,100,10.71,light rain
271,Harper,LR,4.38,-7.72,78.01,88,27,8.14,scattered clouds
272,Oranjestad,AW,12.52,-70.03,84.2,74,20,13.87,few clouds
273,Costa Rica,BR,-23.42,-54.65,66.9,56,0,3.02,clear sky
274,Vardo,NO,70.37,31.11,42.44,69,3,21.5,clear sky
275,Anuradhapura,LK,8.36,80.42,84.09,67,0,3.29,clear sky
276,Buraydah,SA,26.33,43.98,60.8,41,0,5.82,clear sky
277,Jumla,NP,29.27,82.18,54.95,34,0,1.23,clear sky
278,Bundaberg,AU,-24.85,152.35,80.6,39,40,8.05,scattered clouds
279,Walvis Bay,NA,-22.96,14.51,57.99,93,0,4.7,clear sky
280,Vryheid,ZA,-27.77,30.79,61.56,68,88,3.71,overcast clouds
281,Natal,BR,-5.79,-35.21,78.8,83,40,9.17,scattered clouds
282,Wakkanai,JP,45.41,141.67,35.6,59,75,29.97,broken clouds
283,Kamina,CD,-8.74,24.99,64.31,91,100,3.89,overcast clouds
284,Navsari,IN,20.95,72.93,69.8,73,20,4.7,mist
285,Najran,SA,17.49,44.13,53.6,30,0,2.06,clear sky
286,Porto Belo,BR,-27.16,-48.55,64.4,88,20,6.93,few clouds
287,Karratha,AU,-20.74,116.85,91.45,30,0,7.87,clear sky
288,Tuktoyaktuk,CA,69.45,-133.04,12.2,85,90,9.17,light snow
289,Carbonia,IT,39.17,8.52,57.99,82,75,2.24,broken clouds
290,Nizhneangarsk,RU,55.78,109.55,23.67,91,100,0.87,overcast clouds
291,Muriwai Beach,NZ,-36.82,174.45,66.99,85,100,4.0,heavy intensity rain
292,Tiznit,MA,29.58,-9.5,63.34,38,99,0.81,overcast clouds
293,Ixtapa,MX,20.7,-105.2,79.0,69,5,4.7,clear sky
294,Sweetwater,US,25.76,-80.37,75.2,53,20,12.75,few clouds
295,Bandarbeyla,SO,9.49,50.81,74.8,83,38,17.18,scattered clouds
296,Skibbereen,IE,51.55,-9.27,39.2,86,20,10.29,few clouds
297,Houma,US,29.6,-90.72,51.01,87,1,4.23,clear sky
298,Turukhansk,RU,65.82,87.98,6.3,95,90,2.84,overcast clouds
299,Osakarovka,KZ,50.56,72.57,23.65,93,20,4.0,few clouds
300,Bemidji,US,47.47,-94.88,51.8,57,1,4.7,clear sky
301,Upernavik,GL,72.79,-56.15,17.35,96,100,12.08,light snow
302,Mount Isa,AU,-20.73,139.5,98.6,13,7,8.05,clear sky
303,Nemuro,JP,43.32,145.57,48.2,36,40,8.05,scattered clouds
304,Eganville,CA,45.53,-77.1,28.99,86,90,9.17,overcast clouds
305,Vanavara,RU,60.34,102.28,21.11,96,100,9.24,overcast clouds
306,Aykhal,RU,66.0,111.5,-0.4,84,75,2.24,broken clouds
307,Andover,GB,51.21,-1.48,37.4,93,0,3.36,clear sky
308,Marrakesh,MA,31.63,-8.01,62.6,77,0,4.7,clear sky
309,Lovozero,RU,68.0,35.01,34.95,88,100,3.71,overcast clouds
310,Juba,SS,4.85,31.58,73.85,65,0,0.72,clear sky
311,Tongchuan,CN,35.08,109.09,56.19,38,100,3.58,overcast clouds
312,Sibu,MY,2.3,111.82,84.2,74,20,4.7,few clouds
313,Whitianga,NZ,-36.83,175.7,71.01,80,99,7.0,light rain
314,Sinegorye,RU,62.08,150.48,6.08,91,100,7.61,snow
315,Iranshahr,IR,27.2,60.68,57.2,15,0,6.93,clear sky
316,Nowy Sacz,PL,49.62,20.7,54.0,90,100,2.55,overcast clouds
317,Sekoma,BW,-24.4,23.88,70.48,59,100,13.8,overcast clouds
318,Sivaki,RU,52.63,126.75,18.03,90,97,10.92,overcast clouds
319,Biltine,TD,14.53,20.92,77.67,23,0,20.51,clear sky
320,Bambous Virieux,MU,-20.34,57.76,69.8,73,40,9.17,shower rain
321,Kupino,RU,54.37,77.3,27.75,92,100,11.79,overcast clouds
322,Deputatskiy,RU,69.3,139.9,-13.09,87,7,1.77,clear sky
323,Farah,AF,32.5,62.5,49.46,44,0,1.63,clear sky
324,Cayeli,TR,41.09,40.73,62.02,60,83,2.21,broken clouds
325,Brae,GB,60.4,-1.35,46.4,75,99,26.4,light rain
326,La Ronge,CA,55.1,-105.28,41.0,75,100,2.24,overcast clouds
327,San Carlos De Bariloche,AR,-41.15,-71.31,51.8,57,0,12.75,clear sky
328,Grants Pass,US,42.44,-123.33,64.4,42,75,2.95,broken clouds
329,Thunder Bay,CA,48.4,-89.32,34.0,100,5,3.36,clear sky
330,Comarapa,BO,-17.9,-64.48,58.84,53,0,0.76,clear sky
331,Liverpool,GB,53.41,-2.98,45.0,93,20,2.24,few clouds
332,Novoanninskiy,RU,50.53,42.67,43.12,84,93,6.42,light rain
333,Vanderhoof,CA,54.02,-124.02,44.87,77,100,5.68,overcast clouds
334,Taree,AU,-31.9,152.47,75.0,56,30,12.75,scattered clouds
335,Rio Gallegos,AR,-51.62,-69.22,44.6,93,90,8.05,overcast clouds
336,Prince Rupert,CA,54.32,-130.32,44.6,86,75,3.36,broken clouds
337,Saint-Louis,SN,16.33,-15.0,84.58,18,0,7.36,clear sky
338,Marsh Harbour,BS,26.54,-77.06,73.69,72,37,23.87,scattered clouds
339,Trani,IT,41.27,16.42,55.4,82,0,5.82,clear sky
340,Alofi,NU,-19.06,-169.92,80.6,69,75,23.04,broken clouds
341,Pocone,BR,-16.26,-56.62,76.84,46,0,6.6,clear sky
342,Urucara,BR,-2.54,-57.76,82.87,59,65,0.76,broken clouds
343,Isangel,VU,-19.55,169.27,76.87,78,100,9.17,overcast clouds
344,Itarema,BR,-2.92,-39.92,80.67,77,70,11.72,broken clouds
345,Sao Felix Do Xingu,BR,-6.64,-51.99,71.87,96,98,1.5,overcast clouds
346,Saint-Donat-De-Montcalm,CA,46.32,-74.22,26.6,86,48,1.12,scattered clouds
347,Lorengau,PG,-2.02,147.27,85.01,74,90,5.28,light rain
348,Tinskoy,RU,56.15,96.92,28.08,95,100,10.13,overcast clouds
349,San Pedro,PH,14.35,121.02,84.2,74,75,8.05,broken clouds
350,Pathein,MM,16.78,94.73,84.78,75,0,4.14,light rain
351,Margate,GB,51.38,1.39,51.01,66,0,1.99,clear sky
352,Ahar,IR,38.48,47.07,51.58,67,27,3.56,scattered clouds
353,Kuldur,RU,49.22,131.63,21.74,83,14,12.44,few clouds
354,Botelhos,BR,-21.63,-46.4,57.9,89,42,1.81,scattered clouds
355,Nantucket,US,41.28,-70.1,41.0,44,1,11.41,clear sky
356,Zhigansk,RU,66.77,123.37,0.12,89,31,5.59,scattered clouds
357,Constitucion,CL,-35.33,-72.42,54.63,69,0,12.73,clear sky
358,Mahajanga,MG,-15.72,46.32,73.4,64,20,8.05,few clouds
359,Bilma,NE,18.69,12.92,69.39,24,0,7.7,clear sky
360,Kenora,CA,49.82,-94.43,46.4,61,20,3.36,few clouds
361,Puksoozero,RU,62.59,40.61,44.53,89,98,10.71,overcast clouds
362,Campbellsville,US,37.34,-85.34,53.6,61,1,3.36,clear sky
363,Xining,CN,36.62,101.77,40.35,61,100,1.39,overcast clouds
364,Vao,NC,-22.67,167.48,73.24,90,100,13.02,light rain
365,Mercedes,AR,-34.65,-59.43,63.0,89,71,9.1,broken clouds
